global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward,checkpoint_saved,checkpoint_episode,avg_reward,reward_change,model_file
50,3,9,1752712459.216134,5.162102460861206,10.0,,,,,,63.0,80.2,12.345512390136719,225.8268928527832,0.01791858673095703,0.018978118896484375,1.0,1.0,-0.5283425450325012,0.1331482231616974,1.3202738761901855,1.2876207828521729,-1.2163784503936768,0.0036330223083496094,0.0034682750701904297,10.0,,,,,
51,3,10,1752712459.229932,5.175900459289551,10.0,,,,,,63.0,80.2,12.345512390136719,225.8268699645996,0.01792001724243164,0.018978118896484375,1.0,1.0,-0.5888330340385437,0.15890103578567505,1.2450079917907715,1.4906103610992432,-0.93905109167099,0.0042912960052490234,0.0035409927368164062,11.0,,,,,
52,3,11,1752712459.2440197,5.189988136291504,10.0,,,,,,64.3,80.2,12.345512390136719,225.82684707641602,0.01792144775390625,0.018978118896484375,1.0,1.0,-0.6832430362701416,0.18625026941299438,1.2050203084945679,1.6432169675827026,-1.0459096431732178,0.003797292709350586,0.003879070281982422,12.0,,,,,
53,3,12,1752712459.2592592,5.205227613449097,10.0,,,,,,63.3,80.2,12.345516204833984,225.82684326171875,0.01792287826538086,0.018978118896484375,1.0,1.0,-0.816025972366333,0.21506604552268982,1.191173791885376,1.7469055652618408,-1.103982925415039,0.003962516784667969,0.0043714046478271484,13.0,,,,,
54,3,13,1752712459.2739341,5.219902515411377,10.0,,,,,,62.1,80.2,12.345516204833984,225.82683944702148,0.01792430877685547,0.018978118896484375,1.0,0.0,-0.4667661190032959,0.24513603746891022,1.1965323686599731,1.8027938604354858,-1.1133497953414917,0.004496574401855469,0.003859996795654297,14.0,,,,,
55,3,14,1752712459.2874997,5.233468294143677,10.0,,,,,,63.0,80.2,12.345516204833984,225.82682037353516,0.017925739288330078,0.018978118896484375,1.0,0.0,-0.6330129504203796,0.26942455768585205,1.216166615486145,1.8116483688354492,-1.07406485080719,0.0038537979125976562,0.003553628921508789,15.0,,,,,
56,3,15,1752712459.2998128,5.245781183242798,10.0,,,,,,62.5,80.2,12.345516204833984,225.82681274414062,0.017927169799804688,0.018978118896484375,1.0,0.0,-0.8463399410247803,0.298664391040802,1.3565864562988281,1.8899633884429932,-1.0846819877624512,0.0032978057861328125,0.0035195350646972656,16.0,,,,,
57,3,16,1752712459.314766,5.26073431968689,10.0,,,,,,63.3,80.2,12.345535278320312,225.82681274414062,0.017928600311279297,0.018978118896484375,1.0,0.0,-1.0677902698516846,0.3333438038825989,1.5898901224136353,2.0377752780914307,-1.1451961994171143,0.004052400588989258,0.0040683746337890625,17.0,,,,,
58,4,0,1752712459.410785,5.356753349304199,10.0,,,,,,63.2,80.2,12.345584869384766,225.82676696777344,0.017910003662109375,0.018999576568603516,1.0,0.0,-0.12653768062591553,-0.08562273532152176,0.2881246507167816,0.17186978459358215,-0.4975053071975708,0.0036542415618896484,0.0036623477935791016,1.0,,,,,
59,4,1,1752712459.4243932,5.370361328125,10.0,,,,,,64.3,80.2,12.345584869384766,225.82676315307617,0.017911434173583984,0.018999576568603516,1.0,1.0,-1.7712056636810303,-0.08529287576675415,0.41850101947784424,0.37041494250297546,-0.488765686750412,0.0039806365966796875,0.003622293472290039,2.0,,,,,
60,4,2,1752712459.4377484,5.383716583251953,10.0,,,,,,61.5,80.2,12.345588684082031,225.8267593383789,0.017912864685058594,0.018999576568603516,1.0,0.0,-0.13793933391571045,-0.07832624763250351,0.3194775879383087,0.21991926431655884,-0.5294728875160217,0.0039055347442626953,0.0037496089935302734,3.0,,,,,
61,4,3,1752712459.451165,5.3971333503723145,10.0,,,,,,65.5,80.2,12.34564208984375,225.82675552368164,0.017914295196533203,0.018999576568603516,1.0,0.0,-0.20349782705307007,-0.07702583074569702,0.4454594850540161,0.3862385153770447,-0.5208693742752075,0.002991199493408203,0.003726482391357422,4.0,,,,,
62,4,4,1752712459.4678574,5.413825750350952,10.0,,,,,,61.3,80.2,12.34564208984375,225.82675170898438,0.017915725708007812,0.018999576568603516,1.0,1.0,-1.2688318490982056,-0.0729626715183258,0.7013901472091675,0.7423965930938721,-0.7455769181251526,0.0048487186431884766,0.004087924957275391,5.0,,,,,
63,4,5,1752712459.4843717,5.430339813232422,10.0,,,,,,63.6,80.2,12.34564208984375,225.82674026489258,0.017917156219482422,0.018999576568603516,1.0,0.0,-0.27042156457901,-0.06162485480308533,0.5416730046272278,0.40598735213279724,-0.6520503759384155,0.005814313888549805,0.0041353702545166016,6.0,,,,,
64,4,6,1752712459.4991872,5.445155620574951,10.0,,,,,,60.0,80.2,12.34564208984375,225.82673263549805,0.01791858673095703,0.018999576568603516,1.0,1.0,-1.0630137920379639,-0.05531385540962219,0.7789599895477295,0.7683826088905334,-0.7473554611206055,0.0037238597869873047,0.0043811798095703125,7.0,,,,,
65,4,7,1752712459.5145063,5.460474729537964,10.0,,,,,,63.3,80.2,12.34564208984375,225.82672882080078,0.01792001724243164,0.018999576568603516,1.0,0.0,-0.3611551821231842,-0.04134291410446167,0.6538462042808533,0.572746217250824,-0.7836676836013794,0.0033121109008789062,0.004762172698974609,8.0,,,,,
66,4,8,1752712459.528106,5.474074125289917,10.0,,,,,,64.3,80.2,12.345649719238281,225.82672119140625,0.01792144775390625,0.018999576568603516,1.0,1.0,-0.8687829375267029,-0.0322229266166687,0.8754147887229919,0.8075861930847168,-0.8250303864479065,0.0040361881256103516,0.003712177276611328,9.0,,,,,
67,4,9,1752712459.5422676,5.488235950469971,10.0,,,,,,63.0,80.2,12.345649719238281,225.82671356201172,0.01792287826538086,0.018999576568603516,1.0,1.0,-0.9610227346420288,-0.014970749616622925,0.7787656784057617,0.7671855092048645,-0.9159706234931946,0.004611015319824219,0.0037386417388916016,10.0,,,,,
68,4,10,1752712459.5587497,5.504718065261841,10.0,,,,,,63.6,80.2,12.345680236816406,225.82670974731445,0.01792430877685547,0.018999576568603516,1.0,1.0,-1.124881386756897,0.002038419246673584,0.7426748871803284,0.8409451842308044,-0.9577773213386536,0.004868030548095703,0.0048351287841796875,11.0,,,,,
69,4,11,1752712459.5738325,5.519800901412964,10.0,,,,,,62.1,80.2,12.345684051513672,225.82670974731445,0.017925739288330078,0.018999576568603516,1.0,0.0,-0.29800140857696533,0.01851002871990204,0.7659668326377869,0.860737681388855,-0.9505065679550171,0.003564596176147461,0.004427909851074219,12.0,,,,,
